N,p_empirical,p_theoretical,delta,return_count,total_runs
2,0.49964000,0.50000000,0.00036000,49964,100000
4,0.12571000,0.12500000,0.00071000,12571,100000
6,0.06239000,0.06250000,0.00011000,6239,100000
8,0.03946000,0.03906250,0.00039750,3946,100000
10,0.02743000,0.02734375,0.00008625,2743,100000
12,0.02032000,0.02050781,0.00018781,2032,100000
14,0.01594000,0.01611328,0.00017328,1594,100000
16,0.01360000,0.01309204,0.00050796,1360,100000
18,0.01082000,0.01091003,0.00009003,1082,100000
20,0.00915000,0.00927353,0.00012353,915,100000
22,0.00844000,0.00800896,0.00043104,844,100000
24,0.00674000,0.00700784,0.00026784,674,100000
26,0.00622000,0.00619924,0.00002076,622,100000
28,0.00570000,0.00553504,0.00016496,570,100000
30,0.00509000,0.00498153,0.00010847,509,100000
32,0.00415000,0.00451451,0.00036451,415,100000
